symbol,strike_price,type,bid_price,ask_price,open_interest,volume,chance_of_profit_short,chance_of_profit_long,delta,implied_volatility,theta
ABC,110.0,put,0.000000,0.100000,0,0,0.997798,0.002202,-0.001382,1.448133,-0.014989
ABC,115.0,put,0.000000,0.100000,0,0,0.997685,0.002315,-0.001525,1.307178,-0.014799
ABC,120.0,put,0.000000,0.100000,0,0,0.997545,0.002455,-0.001694,1.171537,-0.01459
ABC,125.0,put,0.000000,0.100000,0,0,0.997372,0.002628,-0.001897,1.040645,-0.014357
ABC,130.0,put,0.000000,0.100000,4,0,0.997152,0.002848,-0.002146,0.91397,-0.014094
ABC,133.0,put,0.000000,0.100000,0,0,0.996991,0.003009,-0.002324,0.839792,-0.013919
ABC,134.0,put,0.000000,0.100000,0,0,0.996931,0.003069,-0.00239,0.81535,-0.013858
ABC,135.0,put,0.000000,0.100000,4,0,0.996868,0.003132,-0.002459,0.791039,-0.013795
ABC,136.0,put,0.000000,0.100000,0,0,0.996801,0.003199,-0.002532,0.766858,-0.01373
ABC,137.0,put,0.000000,0.100000,12,0,0.996730,0.003270,-0.002609,0.742794,-0.013662
ABC,138.0,put,0.000000,0.100000,0,0,0.996655,0.003345,-0.002691,0.718855,-0.013593
ABC,139.0,put,0.000000,0.100000,1,0,0.996575,0.003425,-0.002778,0.695036,-0.013521
ABC,140.0,put,0.000000,0.100000,0,0,0.996489,0.003511,-0.002869,0.671331,-0.013447
ABC,141.0,put,0.000000,0.100000,1,0,0.996398,0.003602,-0.002967,0.647727,-0.013369
ABC,142.0,put,0.000000,0.100000,0,0,0.996300,0.003700,-0.003072,0.62423,-0.013289
ABC,143.0,put,0.000000,0.100000,1,0,0.996195,0.003805,-0.003184,0.600837,-0.013207
ABC,144.0,put,0.000000,0.100000,0,0,0.996083,0.003917,-0.003304,0.577533,-0.01312
ABC,145.0,put,0.000000,0.100000,1,0,0.995961,0.004039,-0.003432,0.554313,-0.01303
ABC,146.0,put,0.000000,0.100000,0,0,0.995829,0.004171,-0.003572,0.531183,-0.012937
ABC,147.0,put,0.000000,0.100000,0,0,0.995686,0.004314,-0.003722,0.508132,-0.012839
ABC,148.0,put,0.000000,0.100000,1,0,0.995530,0.004470,-0.003886,0.485144,-0.012736
ABC,149.0,put,0.000000,0.150000,1,0,0.995360,0.004640,-0.004065,0.462225,-0.012627
ABC,150.0,put,0.000000,0.150000,1,0,0.995173,0.004827,-0.004261,0.439371,-0.012514
